representation,word_ngram,char_ngram,model,cv_accuracy,holdout_accuracy,holdout_f1
WEIGHTED_TEXT,"(1, 1)","(3, 5)",Balanced Logistic C=3,0.6787290715372907,0.6373626373626373,0.56
CAPTION_TAGS,"(1, 3)","(3, 6)",SVM C=5,0.6787290715372907,0.6043956043956044,0.5
CAPTION_TAGS,"(1, 4)","(3, 7)",Logistic C=10,0.6786910197869103,0.6153846153846154,0.4927536231884058
WEIGHTED_TEXT,"(1, 1)","(3, 5)",Balanced Logistic C=10,0.6786910197869103,0.6153846153846154,0.5205479452054794
WEIGHTED_TEXT,"(1, 3)","(3, 6)",SVM C=5,0.6786910197869103,0.6153846153846154,0.5205479452054794
CAPTION_ONLY,"(1, 1)","(3, 5)",SVM C=5,0.6786529680365297,0.6043956043956044,0.5
WEIGHTED_TEXT,"(1, 2)","(3, 5)",SVM C=2,0.6786529680365297,0.5934065934065934,0.4788732394366197
TAGS_ONLY,"(1, 2)","(3, 5)",Balanced Logistic C=0.3,0.6786529680365296,0.6593406593406593,0.6172839506172839
CAPTION_TAGS,"(1, 4)","(3, 7)",SVM C=1,0.6786529680365296,0.6263736263736264,0.5277777777777778
WEIGHTED_TEXT,"(1, 2)","(3, 5)",SVM C=1,0.6786529680365296,0.5934065934065934,0.463768115942029
CAPTION_TAGS,"(1, 3)","(3, 6)",SVM C=0.3,0.6759512937595129,0.6153846153846154,0.4927536231884058
TAGS_ONLY,"(1, 4)","(3, 7)",Balanced Logistic C=0.3,0.6759132420091325,0.6483516483516484,0.6097560975609756
CAPTION_TAGS,"(1, 1)","(3, 5)",Balanced Logistic C=10,0.6759132420091325,0.6153846153846154,0.5333333333333333
WEIGHTED_TEXT,"(1, 3)","(3, 6)",SVM C=10,0.6759132420091325,0.6153846153846154,0.5205479452054794
CAPTION_ONLY,"(1, 2)","(3, 5)",SVM C=0.5,0.6759132420091324,0.6153846153846154,0.5333333333333333
CAPTION_ONLY,"(1, 3)","(3, 6)",Logistic C=10,0.675875190258752,0.6483516483516484,0.5294117647058824
CAPTION_ONLY,"(1, 4)","(3, 7)",SVM C=0.5,0.675875190258752,0.6373626373626373,0.547945205479452
CAPTION_TAGS,"(1, 4)","(3, 7)",SVM C=10,0.675875190258752,0.6263736263736264,0.5277777777777778
CAPTION_ONLY,"(1, 2)","(3, 5)",SVM C=2,0.6758751902587519,0.6043956043956044,0.5135135135135135
WEIGHTED_TEXT,"(1, 4)","(3, 7)",SVM C=1,0.6758751902587519,0.6043956043956044,0.5
WEIGHTED_TEXT,"(1, 4)","(3, 7)",SVM C=2,0.6758751902587519,0.6043956043956044,0.5
